"Abbas, Safia","Sawamura, Hajime",,,,,,,,
"Abbas, Safia","Sawamura, Hajime",,,,,,,,
"Adjei, Seth A.","Selent, Douglas","Pardos, Zachary A.","Broaddus, Angela","Heffernan, Neil T.","Kingston, Neal",,,,
"Adjei, Seth A.","Salehizadeh, S. M. A.","Wang, Yutao","Heffernan, Neil T.",,,,,,
"Agapito, Javier Bravo","Ortigosa, Álvaro","Sosnovsky, Sergey",,,,,,,
"Aghababyan, Ani",,,,,,,,,
"Agnihotri, Lalitha","Aghababyan, Ani","Mojarad, Shirin","Riedesel, Mark","Essa, Alfred",,,,,
"Agnihotri, Lalitha","Ott, Alexander",,,,,,,,
"Agrawal, Akshay","Venkatraman, Jagadish","Leonard, Shane","Paepcke, Andreas",,,,,,
"Agrawal, Rakesh",,,,,,,,,
"Agrawal, Rakesh","Golshan, Behzad","Papalexakis, Evangelos",,,,,,,
"Akçapinar, Gökhan","Coşgun, Erdal","Altun, Arif",,,,,,,
"Aleahmad, Turadg","Aleven, Vincent","Kraut, Robert E.",,,,,,,
"Alexandron, Giora","Pritchard, David E.","Zhou, Qian",,,,,,,
"Alharbi, Ghada","Hain, Thomas",,,,,,,,
"Allen, Laura K.",,,,,,,,,
"Allen, Laura K.","Jacovina, Matthew E.","Dascalu, Mihai","Roscoe, Rod D.","Kent, Kevin M.","Likens, Aaron D.","McNamara, Danielle S.",,,
"Allen, Laura K.","McNamara, Danielle S.",,,,,,,,
"Allen, Laura K.","Snow, Erica L.","McNamara, Danielle S.",,,,,,,
"Allen, Laura K.","Snow, Erica L.","McNamara, Danielle S.",,,,,,,
"Allevato, Anthony","Thornton, Matthew","Edwards, Stephen H.","Pérez-Quiñones, Manuel A.",,,,,,
"Almond, Russell G.","Guo, Yuhua","Wang, Nan","Goldin, Ilya M.",,,,,,
"Altrabsheh, Nabeela","Cocea, Mihaela","Fallahkhair, Sanaz",,,,,,,
"Anaya, Antonio R.","Boticario, Jesús G.",,,,,,,,
"Anaya, Antonio R.","Boticario, Jesús G.",,,,,,,,
"Anaya, Antonio R.","Hernández-del-Olno, Félix","Leton, Emilio","Boticario, Jesús G.",,,,,,
"Anderson, John R.",,,,,,,,,
Andrew S. Lan,Richard G. Baraniuk,,,,,,,,
"Anjewierden, Anjo","Gijlers, Hannie","Saab, Nadira","De Hoog, Robert",,,,,,
"Antunes, Cláudia",,,,,,,,,
"Arroyo, Ivon","Meheranian, Hasmik","Woolf, Beverly Park",,,,,,,
"Ashenafi, Michael Mogessie","Ronchetti, Marco","Riccardi, Giuseppe",,,,,,,
"Atapattu, Thushari","Falkner, Katrina","Falkner, Nickolas",,,,,,,
